Location,Price,Hour,Time_of_Day,Day,Day_W,Month,Year,Season,High_Qual,Position,Seafront
San Diego,283.4225647619107,3,Night,8,Monday,8,2022,summer,False,southwestern,seacost
Houston,213.8205561303394,17,Afternoon,11,Friday,12,2015,winter,False,south,seacost
Los Angeles,247.72027360095709,17,Afternoon,29,Tuesday,5,2018,spring,False,west,seacost
San Jose,168.18812726856532,22,Evening,13,Friday,5,2016,spring,False,west,seacost
Houston,160.42059174769506,6,Morning,14,Monday,2,2022,winter,False,south,seacost
New York,299.9993508994125,19,Evening,23,Monday,7,2018,summer,False,east,seacost
Dallas,238.57522275700552,22,Evening,30,Saturday,11,2019,autumn,False,south,inland
Houston,215.19035109162664,23,Evening,26,Monday,10,2015,autumn,False,south,seacost
San Antonio,172.7785548643906,6,Morning,15,Friday,7,2016,summer,False,south,inland
Philadelphia,338.9093425568035,7,Morning,28,Tuesday,2,2017,winter,False,east,seacost
Dallas,262.8484347970557,10,Morning,25,Wednesday,3,2020,spring,False,south,inland
San Diego,404.71764224058506,19,Evening,12,Saturday,10,2019,autumn,True,southwestern,seacost
New York,158.32066989282586,20,Evening,18,Wednesday,5,2016,spring,False,east,seacost
New York,373.2238348869324,15,Afternoon,15,Thursday,12,2022,winter,False,east,seacost
San Diego,157.18524319975947,10,Morning,20,Friday,3,2015,spring,False,southwestern,seacost
Los Angeles,221.47424253095727,9,Morning,28,Saturday,3,2020,spring,False,west,seacost
San Diego,396.7885509467162,12,Afternoon,28,Saturday,3,2015,spring,True,southwestern,seacost
San Antonio,255.0710592852631,23,Evening,16,Wednesday,5,2018,spring,True,south,inland
Philadelphia,302.1249822492794,16,Afternoon,24,Tuesday,1,2017,winter,False,east,seacost
Phoenix,179.9392943205341,4,Night,11,Monday,4,2016,spring,False,southwestern,inland
Phoenix,109.96550975857852,11,Morning,31,Sunday,1,2016,winter,False,southwestern,inland
Philadelphia,197.66572923659805,1,Night,8,Thursday,10,2015,autumn,False,east,seacost
Houston,215.7911398168356,16,Afternoon,2,Friday,4,2021,spring,False,south,seacost
San Jose,276.8335178683,11,Morning,10,Monday,1,2022,winter,False,west,seacost
San Jose,287.43975330090007,11,Morning,6,Sunday,3,2022,spring,False,west,seacost
San Jose,159.09327879841834,20,Evening,20,Sunday,9,2020,autumn,False,west,seacost
San Antonio,226.614821045857,6,Morning,27,Friday,4,2018,spring,False,south,inland
New York,285.28967457504393,5,Night,5,Monday,2,2018,winter,False,east,seacost
San Jose,155.03661526186983,11,Morning,8,Sunday,9,2019,autumn,False,west,seacost
New York,431.7640025759656,2,Night,21,Wednesday,11,2018,autumn,True,east,seacost
Phoenix,139.54008462053577,8,Morning,4,Sunday,8,2019,summer,False,southwestern,inland
San Antonio,133.91791891819568,8,Morning,29,Thursday,10,2015,autumn,False,south,inland
San Jose,376.52821356173456,1,Night,3,Sunday,7,2016,summer,False,west,seacost
San Antonio,169.73263091158768,11,Morning,14,Wednesday,7,2021,summer,False,south,inland
New York,333.4645141403263,18,Evening,10,Wednesday,11,2021,autumn,False,east,seacost
Phoenix,101.19322816379422,22,Evening,26,Friday,2,2021,winter,False,southwestern,inland
Philadelphia,242.172812335088,21,Evening,15,Tuesday,6,2021,summer,False,east,seacost
San Diego,146.9535232581494,11,Morning,6,Wednesday,7,2016,summer,False,southwestern,seacost
San Jose,212.86855559531205,8,Morning,25,Tuesday,5,2021,spring,False,west,seacost
Philadelphia,180.62652760132025,22,Evening,20,Tuesday,6,2023,summer,False,east,seacost
Chicago,353.0224222144756,23,Evening,27,Wednesday,6,2018,summer,True,midwest,seacost
New York,240.72392594547307,7,Morning,26,Friday,5,2023,spring,False,east,seacost
Chicago,321.42033262223566,21,Evening,15,Sunday,8,2021,summer,True,midwest,seacost
Phoenix,184.1513162990523,6,Morning,2,Sunday,10,2022,autumn,False,southwestern,inland
San Antonio,272.42586607755146,2,Night,2,Thursday,3,2017,spring,True,south,inland
New York,348.83616882622584,1,Night,22,Tuesday,3,2016,spring,False,east,seacost
San Diego,141.98587886112156,4,Night,3,Saturday,10,2020,autumn,False,southwestern,seacost
Dallas,134.552049530554,13,Afternoon,30,Monday,10,2017,autumn,False,south,inland
San Antonio,106.26900137068525,2,Night,23,Saturday,4,2022,spring,False,south,inland
San Antonio,118.08901092007392,17,Afternoon,15,Friday,2,2019,winter,False,south,inland
Houston,158.46909536570632,15,Afternoon,25,Monday,4,2016,spring,False,south,seacost
San Diego,359.96315258796886,18,Evening,26,Sunday,5,2019,spring,False,southwestern,seacost
Philadelphia,320.75696402102506,3,Night,12,Thursday,10,2017,autumn,False,east,seacost
San Diego,208.5197957284728,10,Morning,3,Wednesday,8,2022,summer,False,southwestern,seacost
Los Angeles,249.318423634944,9,Morning,27,Sunday,6,2021,summer,False,west,seacost
Los Angeles,380.6566218443098,9,Morning,17,Saturday,10,2015,autumn,True,west,seacost
Houston,125.91065503737292,9,Morning,15,Friday,4,2022,spring,False,south,seacost
Los Angeles,298.14841243466645,2,Night,18,Tuesday,7,2017,summer,False,west,seacost
Phoenix,123.00561264516814,22,Evening,12,Tuesday,5,2015,spring,False,southwestern,inland
San Antonio,298.81094529294865,10,Morning,4,Thursday,5,2017,spring,True,south,inland
Philadelphia,244.8279996178913,17,Afternoon,24,Thursday,12,2015,winter,False,east,seacost
Chicago,339.6651083890293,9,Morning,30,Saturday,9,2023,autumn,True,midwest,seacost
Los Angeles,182.83515945104884,19,Evening,21,Monday,11,2016,autumn,False,west,seacost
Los Angeles,417.28572853735295,5,Night,30,Monday,5,2016,spring,True,west,seacost
San Antonio,111.8607867395554,10,Morning,30,Monday,11,2015,autumn,False,south,inland
San Diego,156.49825025792055,7,Morning,13,Thursday,12,2018,winter,False,southwestern,seacost
San Diego,370.5063980682365,8,Morning,27,Thursday,4,2017,spring,False,southwestern,seacost
San Antonio,255.31844830508544,16,Afternoon,7,Tuesday,3,2023,spring,False,south,inland
Philadelphia,194.4635651502477,10,Morning,26,Tuesday,4,2016,spring,False,east,seacost
Houston,164.30610251158126,6,Morning,30,Friday,6,2023,summer,False,south,seacost
San Antonio,194.53101600523,11,Morning,21,Saturday,5,2022,spring,False,south,inland
Dallas,317.5925586196441,14,Afternoon,31,Tuesday,10,2023,autumn,True,south,inland
Dallas,247.69503556544743,8,Morning,12,Tuesday,11,2019,autumn,False,south,inland
San Antonio,266.50593148449,7,Morning,30,Saturday,6,2018,summer,True,south,inland
San Diego,382.788958060255,16,Afternoon,19,Saturday,6,2021,summer,True,southwestern,seacost
San Diego,177.64582993733376,19,Evening,8,Monday,8,2016,summer,False,southwestern,seacost
Philadelphia,280.49021810476705,9,Morning,13,Wednesday,3,2019,spring,False,east,seacost
Phoenix,297.3881554262075,21,Evening,4,Tuesday,9,2018,autumn,True,southwestern,inland
San Diego,166.7806746059456,1,Night,14,Saturday,11,2020,autumn,False,southwestern,seacost
Dallas,207.5802171428297,13,Afternoon,25,Saturday,4,2020,spring,False,south,inland
Philadelphia,328.861862618085,3,Night,23,Saturday,9,2017,autumn,False,east,seacost
San Jose,446.873118458484,15,Afternoon,23,Thursday,7,2015,summer,True,west,seacost
Houston,136.33754302986847,5,Night,27,Tuesday,8,2019,summer,False,south,seacost
Philadelphia,235.15421829101425,8,Morning,23,Monday,4,2018,spring,False,east,seacost
New York,375.8881685423252,15,Afternoon,16,Monday,1,2023,winter,False,east,seacost
San Jose,328.2239818336848,13,Afternoon,23,Sunday,12,2018,winter,False,west,seacost
Phoenix,275.7306133323318,17,Afternoon,27,Friday,9,2019,autumn,True,southwestern,inland
San Diego,168.6010734104049,16,Afternoon,14,Saturday,11,2020,autumn,False,southwestern,seacost
Los Angeles,291.9035171724073,23,Evening,10,Tuesday,11,2020,autumn,False,west,seacost
San Jose,332.7581737809759,18,Evening,25,Tuesday,6,2019,summer,False,west,seacost
Houston,289.13819871121075,20,Evening,9,Friday,9,2022,autumn,True,south,seacost
San Diego,376.77431650171,13,Afternoon,19,Saturday,3,2022,spring,True,southwestern,seacost
Phoenix,194.8330120350612,1,Night,31,Saturday,7,2021,summer,False,southwestern,inland
Philadelphia,287.124475514387,7,Morning,22,Saturday,5,2021,spring,False,east,seacost
New York,152.3558188043589,5,Night,28,Saturday,4,2018,spring,False,east,seacost
Philadelphia,309.147546261162,10,Morning,11,Wednesday,2,2015,winter,False,east,seacost
San Antonio,103.08921493573853,2,Night,30,Tuesday,6,2020,summer,False,south,inland
San Diego,321.18474260983515,4,Night,22,Saturday,7,2017,summer,False,southwestern,seacost
San Jose,301.76881395342474,15,Afternoon,4,Sunday,12,2016,winter,False,west,seacost
San Antonio,290.8119437673436,0,Night,27,Tuesday,3,2018,spring,True,south,inland
New York,198.9222041049281,12,Afternoon,20,Tuesday,4,2021,spring,False,east,seacost
Dallas,194.43088014541297,3,Night,5,Wednesday,7,2023,summer,False,south,inland
San Jose,407.1892640629832,13,Afternoon,6,Saturday,3,2021,spring,True,west,seacost
Chicago,243.38288955002315,11,Morning,2,Monday,11,2020,autumn,False,midwest,seacost
Dallas,289.21735385665306,7,Morning,3,Monday,7,2023,summer,True,south,inland
San Diego,282.0791262605462,8,Morning,5,Wednesday,10,2016,autumn,False,southwestern,seacost
Los Angeles,331.0725589789555,10,Morning,27,Tuesday,7,2021,summer,False,west,seacost
Houston,303.9393711320745,14,Afternoon,29,Monday,1,2018,winter,True,south,seacost
Dallas,122.0594818982308,4,Night,5,Wednesday,4,2023,spring,False,south,inland
Philadelphia,359.0230838042201,11,Morning,3,Saturday,12,2016,winter,True,east,seacost
Los Angeles,190.1089823698008,8,Morning,15,Thursday,12,2022,winter,False,west,seacost
New York,376.5891234897813,14,Afternoon,10,Friday,8,2018,summer,False,east,seacost
Phoenix,213.16622315389816,16,Afternoon,5,Saturday,10,2019,autumn,False,southwestern,inland
Houston,183.24292883555665,11,Morning,2,Saturday,6,2018,summer,False,south,seacost
Los Angeles,408.38272146412487,1,Night,8,Thursday,12,2016,winter,True,west,seacost
Los Angeles,375.6013245264956,22,Evening,14,Thursday,7,2022,summer,True,west,seacost
Philadelphia,204.2448761804881,2,Night,16,Wednesday,10,2019,autumn,False,east,seacost
San Antonio,140.53663083146628,18,Evening,27,Wednesday,9,2017,autumn,False,south,inland
San Jose,257.697158609426,15,Afternoon,12,Friday,8,2016,summer,False,west,seacost
Phoenix,166.4231629588903,6,Morning,7,Tuesday,4,2015,spring,False,southwestern,inland
Philadelphia,171.53686865547965,19,Evening,5,Monday,6,2023,summer,False,east,seacost
San Diego,402.47412042004856,18,Evening,14,Friday,5,2021,spring,True,southwestern,seacost
San Antonio,277.5249944585443,20,Evening,7,Saturday,4,2018,spring,True,south,inland
New York,412.4534984152254,4,Night,11,Sunday,3,2018,spring,True,east,seacost
New York,286.71339585569086,7,Morning,28,Wednesday,1,2015,winter,False,east,seacost
Philadelphia,335.2960363545115,17,Afternoon,30,Thursday,6,2016,summer,True,east,seacost
Chicago,206.485839419502,17,Afternoon,9,Friday,11,2018,autumn,False,midwest,seacost
Dallas,299.3317345992803,7,Morning,11,Saturday,5,2019,spring,True,south,inland
San Jose,421.93348926701134,1,Night,31,Tuesday,1,2017,winter,True,west,seacost
San Diego,290.7239789910092,12,Afternoon,14,Friday,7,2023,summer,False,southwestern,seacost
Los Angeles,273.33382329540603,0,Night,13,Friday,1,2017,winter,False,west,seacost
Dallas,227.19379641156303,15,Afternoon,15,Sunday,4,2018,spring,False,south,inland
Los Angeles,206.6742210522777,22,Evening,3,Sunday,1,2016,winter,False,west,seacost
Phoenix,118.37173613165356,7,Morning,24,Friday,8,2018,summer,False,southwestern,inland
Philadelphia,230.5991978100652,23,Evening,7,Friday,4,2017,spring,False,east,seacost
Los Angeles,359.54089525605195,2,Night,13,Monday,6,2016,summer,False,west,seacost
Philadelphia,307.2554598104496,5,Night,19,Saturday,12,2015,winter,False,east,seacost
Phoenix,268.17454469266613,16,Afternoon,9,Saturday,3,2019,spring,True,southwestern,inland
Philadelphia,247.3817488445309,17,Afternoon,9,Monday,12,2019,winter,False,east,seacost
Los Angeles,174.79615449688797,18,Evening,21,Friday,12,2018,winter,False,west,seacost
Philadelphia,265.882560617034,22,Evening,11,Sunday,12,2016,winter,False,east,seacost
New York,161.84700293542895,7,Morning,27,Wednesday,12,2023,winter,False,east,seacost
Phoenix,186.17368361421987,12,Afternoon,12,Sunday,3,2017,spring,False,southwestern,inland
Chicago,168.3400466280694,14,Afternoon,21,Friday,7,2023,summer,False,midwest,seacost
New York,403.2743750598397,6,Morning,20,Wednesday,10,2021,autumn,True,east,seacost
Houston,138.36369929092712,19,Evening,23,Monday,3,2015,spring,False,south,seacost
Chicago,233.9129814507964,16,Afternoon,3,Monday,5,2021,spring,False,midwest,seacost
San Jose,265.54130627826504,4,Night,21,Thursday,12,2023,winter,False,west,seacost
Philadelphia,349.8001246218398,20,Evening,11,Wednesday,2,2015,winter,True,east,seacost
New York,318.4874109204424,7,Morning,5,Tuesday,5,2020,spring,False,east,seacost
San Antonio,194.9909288991188,20,Evening,17,Thursday,9,2015,autumn,False,south,inland
San Diego,306.9343320213108,11,Morning,14,Saturday,1,2017,winter,False,southwestern,seacost
Houston,161.0710445797405,15,Afternoon,4,Monday,6,2018,summer,False,south,seacost
San Jose,306.41506227331627,1,Night,1,Sunday,3,2020,spring,False,west,seacost
Philadelphia,221.0097599453825,1,Night,18,Wednesday,5,2022,spring,False,east,seacost
Dallas,133.9619456986873,14,Afternoon,5,Monday,1,2015,winter,False,south,inland
San Jose,387.44957919406295,3,Night,6,Thursday,10,2016,autumn,True,west,seacost
New York,258.23862685831875,13,Afternoon,29,Friday,7,2016,summer,False,east,seacost
San Antonio,155.78224210617046,23,Evening,18,Wednesday,1,2017,winter,False,south,inland
San Antonio,100.11392348335411,0,Night,16,Saturday,2,2019,winter,False,south,inland
Philadelphia,139.88116687518018,3,Night,28,Friday,9,2018,autumn,False,east,seacost
San Jose,225.5533413835588,7,Morning,7,Tuesday,7,2020,summer,False,west,seacost
Dallas,182.49666363696173,9,Morning,20,Wednesday,2,2019,winter,False,south,inland
Los Angeles,335.75573304786747,13,Afternoon,21,Tuesday,2,2023,winter,False,west,seacost
Chicago,208.42945495991967,7,Morning,1,Wednesday,3,2017,spring,False,midwest,seacost
San Antonio,259.3049775828156,18,Evening,5,Thursday,11,2020,autumn,False,south,inland
San Antonio,217.43324290806885,3,Night,22,Wednesday,8,2018,summer,False,south,inland
Los Angeles,238.15877486349092,17,Afternoon,13,Thursday,10,2022,autumn,False,west,seacost
Philadelphia,170.92333667681328,1,Night,6,Sunday,12,2020,winter,False,east,seacost
Philadelphia,130.3560464285524,22,Evening,23,Thursday,1,2020,winter,False,east,seacost
Phoenix,176.62285503313262,10,Morning,9,Friday,3,2018,spring,False,southwestern,inland
San Antonio,181.34406138549127,20,Evening,25,Wednesday,1,2023,winter,False,south,inland
Chicago,207.3338984601785,0,Night,18,Tuesday,4,2023,spring,False,midwest,seacost
San Jose,390.72121341412543,16,Afternoon,2,Thursday,11,2017,autumn,False,west,seacost
Chicago,142.9332673520664,19,Evening,23,Tuesday,6,2020,summer,False,midwest,seacost
Dallas,135.2784893194764,1,Night,3,Saturday,1,2015,winter,False,south,inland
Dallas,161.36192788510155,22,Evening,9,Monday,11,2020,autumn,False,south,inland
Chicago,243.29584882144505,6,Morning,17,Saturday,12,2016,winter,False,midwest,seacost
San Jose,367.7704201774952,0,Night,28,Tuesday,4,2015,spring,False,west,seacost
San Jose,421.09912218056695,18,Evening,9,Wednesday,12,2020,winter,True,west,seacost
San Jose,230.12845057506897,8,Morning,5,Thursday,5,2022,spring,False,west,seacost
San Antonio,125.55987033657352,7,Morning,5,Tuesday,11,2019,autumn,False,south,inland
San Diego,282.5800598758389,7,Morning,5,Wednesday,7,2023,summer,False,southwestern,seacost
San Diego,223.885874909002,19,Evening,3,Monday,9,2018,autumn,False,southwestern,seacost
San Diego,415.65777087924727,6,Morning,16,Wednesday,8,2023,summer,True,southwestern,seacost
Phoenix,107.96850247365605,23,Evening,26,Thursday,5,2016,spring,False,southwestern,inland
San Jose,207.26850933417225,19,Evening,16,Thursday,9,2021,autumn,False,west,seacost
San Antonio,250.71175055273324,18,Evening,23,Monday,7,2018,summer,False,south,inland
Los Angeles,248.1857207983561,11,Morning,8,Friday,11,2019,autumn,False,west,seacost
Dallas,233.6923950883389,2,Night,8,Wednesday,6,2022,summer,False,south,inland
San Jose,394.6355431304359,9,Morning,23,Wednesday,9,2015,autumn,True,west,seacost
San Diego,326.72169714765886,16,Afternoon,16,Friday,9,2016,autumn,False,southwestern,seacost
San Diego,308.994285667491,4,Night,19,Sunday,2,2017,winter,False,southwestern,seacost
San Antonio,236.3647277149778,20,Evening,2,Saturday,3,2019,spring,False,south,inland
San Jose,169.2733970819736,23,Evening,13,Monday,4,2015,spring,False,west,seacost
Houston,131.51583867793235,17,Afternoon,11,Wednesday,3,2015,spring,False,south,seacost
San Diego,310.1137046832555,1,Night,9,Wednesday,12,2015,winter,False,southwestern,seacost
San Jose,260.35330159532066,23,Evening,4,Wednesday,3,2015,spring,False,west,seacost
San Antonio,299.1428382006817,2,Night,12,Monday,6,2023,summer,True,south,inland
Dallas,290.5449844084476,3,Night,22,Wednesday,5,2019,spring,False,south,inland
San Antonio,285.2956889863357,8,Morning,1,Sunday,3,2015,spring,True,south,inland
Dallas,149.70192420478432,3,Night,4,Saturday,4,2020,spring,False,south,inland
Phoenix,224.9460583273203,3,Night,12,Thursday,5,2016,spring,False,southwestern,inland
Houston,116.1330313892136,18,Evening,24,Saturday,6,2023,summer,False,south,seacost
Dallas,271.7313104528069,8,Morning,29,Tuesday,12,2015,winter,False,south,inland
San Jose,162.66649566717638,7,Morning,9,Saturday,2,2019,winter,False,west,seacost
Los Angeles,328.74227168354616,22,Evening,19,Tuesday,9,2017,autumn,False,west,seacost
San Jose,213.71065360538688,4,Night,10,Tuesday,10,2023,autumn,False,west,seacost
Los Angeles,305.5334767543335,8,Morning,27,Tuesday,11,2018,autumn,False,west,seacost
Phoenix,155.19493747718758,7,Morning,24,Friday,3,2017,spring,False,southwestern,inland
New York,156.720844139579,16,Afternoon,21,Thursday,4,2016,spring,False,east,seacost
San Antonio,237.1074098202887,11,Morning,19,Sunday,7,2015,summer,False,south,inland
Dallas,208.70501171782445,5,Night,7,Sunday,8,2016,summer,False,south,inland
Houston,269.3307457514493,17,Afternoon,8,Wednesday,2,2023,winter,False,south,seacost
Houston,122.38258964623228,2,Night,11,Tuesday,6,2019,summer,False,south,seacost
Philadelphia,267.8528896031048,10,Morning,21,Saturday,3,2015,spring,False,east,seacost
Houston,121.93860682272155,9,Morning,3,Friday,4,2020,spring,False,south,seacost
Houston,141.64635004523143,3,Night,13,Thursday,5,2021,spring,False,south,seacost
Chicago,308.25918178462683,23,Evening,4,Saturday,5,2019,spring,False,midwest,seacost
Los Angeles,204.02824532883807,13,Afternoon,2,Saturday,2,2019,winter,False,west,seacost
Los Angeles,166.13058484838848,14,Afternoon,12,Wednesday,6,2019,summer,False,west,seacost
San Antonio,128.36174354552622,9,Morning,26,Tuesday,4,2016,spring,False,south,inland
Los Angeles,179.60101866404162,11,Morning,28,Monday,6,2021,summer,False,west,seacost
Houston,295.6412560027382,13,Afternoon,4,Saturday,5,2019,spring,True,south,seacost
Chicago,261.5862088086326,20,Evening,21,Monday,10,2019,autumn,False,midwest,seacost
Dallas,284.3167847270721,21,Evening,27,Sunday,12,2020,winter,False,south,inland
San Diego,212.0213469866196,1,Night,9,Saturday,1,2021,winter,False,southwestern,seacost
Phoenix,225.2681664919197,2,Night,13,Monday,9,2021,autumn,False,southwestern,inland
Dallas,307.7596700173024,22,Evening,6,Friday,1,2023,winter,True,south,inland
San Diego,289.50753741022874,5,Night,17,Saturday,8,2019,summer,False,southwestern,seacost
Phoenix,274.1468112320189,0,Night,3,Friday,4,2020,spring,True,southwestern,inland
Phoenix,143.6091429256561,5,Night,9,Thursday,4,2020,spring,False,southwestern,inland
San Antonio,293.38534000260154,16,Afternoon,26,Wednesday,1,2022,winter,True,south,inland
San Diego,162.3138967980146,23,Evening,7,Saturday,11,2015,autumn,False,southwestern,seacost
Phoenix,252.2216719465719,23,Evening,7,Monday,11,2022,autumn,True,southwestern,inland
Los Angeles,196.4812708000405,9,Morning,1,Sunday,4,2018,spring,False,west,seacost
Houston,135.71529442754644,19,Evening,27,Tuesday,3,2018,spring,False,south,seacost
San Diego,296.527260822798,13,Afternoon,28,Monday,12,2020,winter,False,southwestern,seacost
Philadelphia,212.4257934758007,23,Evening,6,Sunday,6,2021,summer,False,east,seacost
Dallas,158.9543892848641,2,Night,14,Monday,11,2022,autumn,False,south,inland
Los Angeles,262.954521124547,2,Night,16,Monday,11,2015,autumn,False,west,seacost
Philadelphia,386.9895725793778,9,Morning,31,Monday,7,2017,summer,True,east,seacost
Philadelphia,294.49616519867186,13,Afternoon,20,Sunday,12,2015,winter,False,east,seacost
San Antonio,155.72059311490878,22,Evening,10,Wednesday,8,2016,summer,False,south,inland
Houston,326.8984846988211,15,Afternoon,25,Saturday,3,2017,spring,True,south,seacost
Los Angeles,218.1666706510932,14,Afternoon,26,Monday,7,2021,summer,False,west,seacost
New York,365.8954835694599,3,Night,8,Thursday,2,2018,winter,False,east,seacost
San Diego,213.73318806866808,8,Morning,9,Friday,9,2022,autumn,False,southwestern,seacost
New York,382.2919343779563,10,Morning,15,Sunday,7,2018,summer,False,east,seacost
San Antonio,228.79682487715112,2,Night,3,Monday,4,2023,spring,False,south,inland
Phoenix,214.5413725155511,16,Afternoon,2,Monday,3,2020,spring,False,southwestern,inland
San Antonio,191.77897485274303,23,Evening,1,Wednesday,1,2020,winter,False,south,inland
Chicago,178.2823823630329,21,Evening,30,Saturday,5,2015,spring,False,midwest,seacost
San Jose,332.8281715413672,14,Afternoon,25,Monday,7,2022,summer,False,west,seacost
Houston,302.35646080580267,23,Evening,9,Monday,11,2020,autumn,True,south,seacost
New York,159.39162421526217,14,Afternoon,23,Monday,3,2015,spring,False,east,seacost
Los Angeles,345.14752687201087,11,Morning,19,Tuesday,2,2019,winter,False,west,seacost
Los Angeles,386.3783098448756,2,Night,24,Friday,1,2020,winter,True,west,seacost
Philadelphia,290.3908228658188,9,Morning,26,Tuesday,1,2016,winter,False,east,seacost
San Antonio,151.68612648167573,13,Afternoon,3,Friday,2,2023,winter,False,south,inland
Chicago,204.3540142660757,4,Night,9,Thursday,7,2015,summer,False,midwest,seacost
Dallas,274.73706059916424,14,Afternoon,4,Monday,1,2016,winter,False,south,inland
Dallas,190.70092016749368,10,Morning,6,Monday,7,2020,summer,False,south,inland
Chicago,121.93755746253996,5,Night,17,Tuesday,3,2020,spring,False,midwest,seacost
Dallas,133.21402482129218,0,Night,7,Monday,9,2015,autumn,False,south,inland
Phoenix,157.0680740235588,14,Afternoon,28,Saturday,10,2017,autumn,False,southwestern,inland
Chicago,214.3607527654524,15,Afternoon,30,Thursday,8,2018,summer,False,midwest,seacost
Chicago,207.43793353722737,20,Evening,18,Tuesday,10,2016,autumn,False,midwest,seacost
San Diego,365.7997619198258,16,Afternoon,25,Monday,1,2021,winter,True,southwestern,seacost
San Diego,202.0431661282985,15,Afternoon,22,Monday,6,2020,summer,False,southwestern,seacost
Chicago,218.4751957519891,20,Evening,10,Friday,7,2015,summer,False,midwest,seacost
Philadelphia,341.6989924708697,18,Evening,11,Monday,12,2023,winter,False,east,seacost
San Antonio,258.68745610687245,12,Afternoon,27,Wednesday,3,2019,spring,True,south,inland
San Antonio,141.04506124672864,10,Morning,25,Sunday,10,2015,autumn,False,south,inland
San Diego,241.94044343416977,0,Night,8,Friday,10,2021,autumn,False,southwestern,seacost
San Jose,196.89394486286503,19,Evening,21,Tuesday,2,2023,winter,False,west,seacost
Los Angeles,165.22799669666372,19,Evening,13,Sunday,8,2023,summer,False,west,seacost
San Jose,316.25795587341173,9,Morning,16,Sunday,9,2018,autumn,False,west,seacost
Dallas,180.2882933180813,18,Evening,12,Sunday,6,2022,summer,False,south,inland
Philadelphia,263.5591962967987,23,Evening,16,Monday,10,2017,autumn,False,east,seacost
San Diego,304.6147716018596,9,Morning,25,Sunday,12,2022,winter,False,southwestern,seacost
San Diego,309.7338349305929,11,Morning,10,Sunday,5,2020,spring,False,southwestern,seacost
San Diego,403.4142578742749,3,Night,17,Sunday,2,2019,winter,True,southwestern,seacost
San Diego,205.7017815160869,13,Afternoon,31,Monday,7,2023,summer,False,southwestern,seacost
Los Angeles,391.4638821043892,3,Night,29,Saturday,4,2017,spring,True,west,seacost
Philadelphia,143.34025207660957,19,Evening,20,Friday,3,2020,spring,False,east,seacost
New York,159.1148517337152,6,Morning,14,Thursday,4,2016,spring,False,east,seacost
Chicago,146.1043367391197,6,Morning,12,Wednesday,7,2017,summer,False,midwest,seacost
San Antonio,228.7378294169057,14,Afternoon,21,Thursday,5,2020,spring,False,south,inland
Dallas,226.66457384084924,20,Evening,21,Saturday,4,2018,spring,False,south,inland
Phoenix,132.42463662141773,4,Night,22,Friday,11,2019,autumn,False,southwestern,inland
Houston,142.5390884326784,16,Afternoon,15,Wednesday,4,2020,spring,False,south,seacost
San Antonio,205.88586168466168,17,Afternoon,2,Tuesday,2,2021,winter,False,south,inland
Chicago,350.16141570342336,5,Night,14,Sunday,5,2023,spring,True,midwest,seacost
San Jose,204.81900178123072,17,Afternoon,27,Saturday,8,2016,summer,False,west,seacost
New York,227.73885306752928,5,Night,23,Thursday,2,2017,winter,False,east,seacost
New York,186.1749877053933,1,Night,7,Wednesday,4,2021,spring,False,east,seacost
San Diego,306.48851622802675,21,Evening,20,Sunday,8,2017,summer,False,southwestern,seacost
Los Angeles,399.4954011605948,18,Evening,9,Wednesday,5,2018,spring,True,west,seacost
Los Angeles,206.6442395912024,5,Night,22,Monday,2,2016,winter,False,west,seacost
Houston,213.93267789989352,7,Morning,29,Wednesday,6,2022,summer,False,south,seacost
Chicago,337.8274940547263,10,Morning,3,Wednesday,2,2016,winter,True,midwest,seacost
Los Angeles,338.3192793609188,4,Night,1,Sunday,9,2019,autumn,False,west,seacost
San Jose,308.4859990393521,1,Night,7,Friday,9,2018,autumn,False,west,seacost
San Antonio,227.86135360899817,23,Evening,27,Monday,6,2022,summer,False,south,inland
New York,369.25187107029626,22,Evening,1,Friday,6,2018,summer,False,east,seacost
Phoenix,245.6956904168733,10,Morning,1,Wednesday,3,2017,spring,False,southwestern,inland
Houston,216.69496383644275,7,Morning,12,Friday,5,2023,spring,False,south,seacost
Phoenix,156.2951987606081,5,Night,12,Sunday,7,2015,summer,False,southwestern,inland
Houston,155.35841043740947,0,Night,25,Monday,1,2021,winter,False,south,seacost
Philadelphia,368.83960819410646,3,Night,16,Saturday,3,2019,spring,True,east,seacost
Chicago,133.97920711860544,21,Evening,12,Saturday,1,2019,winter,False,midwest,seacost
San Jose,251.1219421260081,12,Afternoon,5,Sunday,7,2020,summer,False,west,seacost
San Diego,333.214038573446,22,Evening,16,Saturday,1,2021,winter,False,southwestern,seacost
Chicago,264.0165665528939,19,Evening,20,Wednesday,12,2017,winter,False,midwest,seacost
Chicago,223.97246403443808,6,Morning,7,Wednesday,11,2018,autumn,False,midwest,seacost
San Jose,181.26985975951132,23,Evening,21,Friday,5,2021,spring,False,west,seacost
Phoenix,127.90561025181503,20,Evening,2,Monday,10,2023,autumn,False,southwestern,inland
Phoenix,239.3045745433939,0,Night,9,Saturday,3,2019,spring,False,southwestern,inland
San Jose,295.1089843408081,20,Evening,18,Wednesday,9,2019,autumn,False,west,seacost
Chicago,201.4921754282649,18,Evening,22,Tuesday,8,2023,summer,False,midwest,seacost
San Antonio,174.95870621652836,1,Night,28,Tuesday,7,2020,summer,False,south,inland
